Title,Difficulty,NormalType,NormalTier,HardType,HardTier
Sword of Vengeance,ANOTHER,지력,C,지력,C
Symmetry,ANOTHER,지력,E,지력,E
SYNC-ANTHEM,ANOTHER,지력,B+,지력,B
T-REX vs Velociraptor (In the Far east euphoria),ANOTHER,지력,B,지력,B
TECHNO Style Essentials,ANOTHER,지력,C,지력,C
TECHNOPHOBIA,ANOTHER,개인차,A,개인차,A+
THANK YOU FOR PLAYING,LEGGENDARIA,지력,C,지력,B
THE BRAVE MUST DIE,ANOTHER,지력,A,지력,A
The Chase,ANOTHER,개인차,A+,개인차,S
The Clown of 24stairs,ANOTHER,지력,A+,지력,A+
THE DAY OF JUBILATIONS,ANOTHER,지력,C,지력,B
THE DEEP STRIKER,LEGGENDARIA,지력,B,지력,B
THE F∀UST,ANOTHER,지력,A+,지력,A+
The Last Apocalypse,ANOTHER,지력,B,지력,B
The Least 100sec,ANOTHER,지력,D,지력,D
The Limbo,ANOTHER,지력,B+,지력,B
The Limbo,LEGGENDARIA,지력,S+,지력,S+
The Onlyonez,ANOTHER,지력,E,개인차,E
THE PEERLESS UNDER HEAVEN,ANOTHER,개인차,A+,개인차,S
The Rebellion of Sequencer,ANOTHER,지력,A,지력,A
The Sampling Paradise,ANOTHER,지력,D,지력,D
Thor's Hammer,ANOTHER,개인차,A+,개인차,S+
thunder HOUSE NATION Remix,LEGGENDARIA,지력,C,지력,C
Thunderbolt,ANOTHER,지력,D,지력,D
TIEFSEE,ANOTHER,지력,D,지력,D
Tiempo Loco,ANOTHER,지력,A+,지력,A
Time to Air,LEGGENDARIA,개인차,S,개인차,S
Timepiece phase II,ANOTHER,지력,B,지력,B+
Timepiece phase II(CN Ver.),ANOTHER,개인차,S,개인차,S+
TITANS RETURN,LEGGENDARIA,개인차,A+,개인차,S
Todestrieb,ANOTHER,지력,E,지력,D
TOGAKUSHI,ANOTHER,개인차,C,개인차,C
TOMAHAWK,ANOTHER,개인차,A+,개인차,A+
TOXIC VIBRATION,ANOTHER,지력,B+,지력,B+
TRANOID,LEGGENDARIA,지력,S,지력,S
Trill auf G,ANOTHER,지력,D,지력,B+
Triple Cross,ANOTHER,지력,B,지력,B
Triple Counter,ANOTHER,지력,A,지력,A
TRIUMPH,ANOTHER,지력,A,지력,A
TROOPERS,ANOTHER,개인차,E,개인차,D
True Blue,ANOTHER,지력,D,지력,D
Twelfth Style,LEGGENDARIA,지력,B+,지력,B+
u gotta beat,ANOTHER,지력,B,지력,B
Uaigh Gealaí,ANOTHER,지력,A,지력,A
Übertreffen,LEGGENDARIA,지력,B,지력,B+
Umbral,LEGGENDARIA,지력,D,지력,C
Unbelief,ANOTHER,지력,B+,지력,A+
UNDO THE NIGHT,ANOTHER,지력,B+,개인차,A
V,ANOTHER,지력,D,지력,D
Valanga,ANOTHER,지력,B,지력,B
VANESSA,ANOTHER,지력,E,지력,D
VANESSA,LEGGENDARIA,지력,A+,지력,S
Venom,ANOTHER,지력,E,지력,E
Verflucht,ANOTHER,지력,A,지력,A+
Verflucht,LEGGENDARIA,지력,S+,지력,S+
Vermilion Carol,ANOTHER,지력,B,지력,B+
Vinculum stellarum,ANOTHER,지력,C,지력,C
Violet Pulse,LEGGENDARIA,지력,A,지력,A+
Viridian,ANOTHER,지력,C,지력,C
Visterhv,ANOTHER,지력,B+,지력,B+
Vitrum,ANOTHER,지력,B,지력,B
VØID,ANOTHER,지력,A+,개인차,S
VOLAQUAS,ANOTHER,지력,A,지력,A
voltississimo,ANOTHER,지력,A+,지력,A+
VOX UP,ANOTHER,개인차,B,개인차,A+
Vulnerability,ANOTHER,지력,A+,지력,A+
Watch Out Pt.2,ANOTHER,개인차,B,개인차,A
waxing and wanding,LEGGENDARIA,지력,A,지력,A
We're so Happy(P*Light Remix) IIDX ver.,ANOTHER,지력,C,지력,B+
Welcome,LEGGENDARIA,지력,B,지력,B+
Without Heaven,ANOTHER,지력,B,지력,B+
WHA,ANOTHER,개인차,S,개인차,S
WONDER WALKER,ANOTHER,지력,C,지력,C
X,ANOTHER,지력,B,지력,B+
Xb10r,ANOTHER,지력,B+,지력,B+
Xerulean,ANOTHER,지력,S,지력,S
XHRONOXAPSULΞ,ANOTHER,지력,S+,지력,S+
Xlø,ANOTHER,지력,B,지력,A
Xperanza,ANOTHER,지력,B,지력,B+
Y&Co. is dead or alive,ANOTHER,개인차,B,개인차,S
YAKSHA,ANOTHER,지력,B+,지력,B+
yellow head joe,LEGGENDARIA,지력,B,지력,B
Ypsilon,LEGGENDARIA,지력,C,지력,D
ZED,LEGGENDARIA,개인차,A+,개인차,A+
ZEPHYRANTHES,LEGGENDARIA,지력,A,지력,A
Zirkfied,ANOTHER,개인차,A+,지력,A+
ZZ,ANOTHER,개인차,C,지력,D
1116,ANOTHER,지력,B,지력,B+
199024club -Re:BounceKiller-,ANOTHER,개인차,B+,개인차,A
2 Be Continued,ANOTHER,지력,B+,지력,B+
2 Beasts Unchained,ANOTHER,개인차,A,지력,A
24h Endurance Race,ANOTHER,지력,B,개인차,B+
255,ANOTHER,지력,A,개인차,A+
3y3s,ANOTHER,개인차,A,지력,S+
